Country code,Coverage subscore,Openness subscore,Overall score,Year
BDI,31.8,8.4,19.3,2015 Scores
DJI,15.3,0.5,7.3,2015 Scores
ETH,39.3,12.0,24.7,2015 Scores
KEN,48.7,24.6,35.8,2015 Scores
MDG,29.3,8.5,18.1,2015 Scores
MWI,54.3,38.1,45.6,2015 Scores
MUS,37.1,24.6,30.4,2015 Scores
MOZ,37.2,11.1,23.2,2015 Scores
RWA,50.4,70.7,61.3,2015 Scores
SSD,33.0,28.8,30.7,2015 Scores
TZA,39.8,11.1,24.4,2015 Scores
UGA,50.8,31.3,40.3,2015 Scores
ZMB,29.8,5.4,16.7,2015 Scores
ZWE,44.6,5.3,23.5,2015 Scores
AGO,23.9,9.0,15.9,2015 Scores
CMR,45.0,10.7,26.6,2015 Scores
TCD,28.5,7.3,17.1,2015 Scores
COD,23.0,6.8,14.3,2015 Scores
COG,31.5,9.6,19.7,2015 Scores
GAB,21.9,7.4,14.1,2015 Scores
STP,20.6,4.0,10.9,2015 Scores
DZA,29.3,11.7,19.9,2015 Scores
EGY,44.4,30.1,36.7,2015 Scores
MAR,54.3,12.0,31.6,2015 Scores
SDN,37.6,41.7,39.8,2015 Scores
TUN,30.5,62.2,47.6,2015 Scores
BWA,44.4,8.9,25.3,2015 Scores
LSO,41.5,24.1,32.1,2015 Scores
NAM,29.8,10.0,19.2,2015 Scores
ZAF,52.0,27.4,38.8,2015 Scores
SWZ,5.8,7.3,6.6,2015 Scores
BEN,35.5,12.7,23.3,2015 Scores
BFA,44.0,9.3,25.4,2015 Scores
CPV,47.6,23.4,34.6,2015 Scores
CIV,39.0,33.4,36.0,2015 Scores
GMB,41.9,28.3,34.6,2015 Scores
GHA,45.3,19.3,31.3,2015 Scores
GIN,41.2,9.3,24.1,2015 Scores
GNB,26.8,16.4,21.2,2015 Scores
LBR,37.8,24.5,30.7,2015 Scores
MLI,40.6,16.3,27.6,2015 Scores
MRT,32.9,21.1,26.6,2015 Scores
NER,35.9,9.3,21.6,2015 Scores
NGA,51.3,28.3,38.9,2015 Scores
SEN,50.5,28.4,38.6,2015 Scores
SLE,39.0,13.6,25.3,2015 Scores
TGO,37.4,34.0,35.6,2015 Scores
AIA,18.3,6.9,11.6,2015 Scores
CUB,69.2,35.7,51.2,2015 Scores
DOM,58.2,27.0,41.4,2015 Scores
HTI,5.3,2.5,3.8,2015 Scores
JAM,32.6,13.8,22.5,2015 Scores
LCA,48.5,11.4,26.7,2015 Scores
VCT,29.7,20.2,24.1,2015 Scores
BLZ,41.1,15.2,27.2,2015 Scores
SLV,30.7,14.0,21.7,2015 Scores
GTM,38.1,20.7,28.7,2015 Scores
HND,42.3,25.4,33.2,2015 Scores
MEX,64.7,74.2,69.8,2015 Scores
NIC,37.4,20.3,28.2,2015 Scores
PAN,61.3,30.0,44.5,2015 Scores
ARG,50.2,25.6,37.0,2015 Scores
BOL,38.1,35.2,36.6,2015 Scores
BRA,49.3,39.0,43.8,2015 Scores
CHL,49.9,26.8,37.5,2015 Scores
COL,52.0,35.0,42.9,2015 Scores
ECU,31.6,17.6,24.1,2015 Scores
GUY,35.3,19.9,27.1,2015 Scores
PRY,49.9,7.5,27.1,2015 Scores
PER,53.4,39.0,45.7,2015 Scores
URY,44.0,21.8,32.1,2015 Scores
VEN,25.8,17.4,21.3,2015 Scores
KAZ,45.7,17.1,30.3,2015 Scores
KGZ,53.5,23.3,37.3,2015 Scores
TJK,46.6,26.3,35.7,2015 Scores
TKM,18.9,0.4,9.0,2015 Scores
UZB,5.7,0.8,3.1,2015 Scores
KHM,39.2,15.8,26.6,2015 Scores
CHN,69.7,45.6,56.7,2015 Scores
IDN,55.8,27.6,40.6,2015 Scores
LAO,36.8,8.4,21.6,2015 Scores
MYS,29.6,14.4,21.4,2015 Scores
MNG,68.9,64.7,66.7,2015 Scores
PHL,59.7,28.6,43.0,2015 Scores
THA,34.7,19.6,26.6,2015 Scores
TLS,29.3,5.1,16.3,2015 Scores
VNM,48.0,47.4,47.7,2015 Scores
AFG,57.5,20.2,37.5,2015 Scores
BGD,57.4,15.8,35.0,2015 Scores
BTN,55.5,19.6,36.2,2015 Scores
IND,60.3,34.5,46.4,2015 Scores
IRN,47.3,25.3,35.5,2015 Scores
MDV,49.4,20.2,32.3,2015 Scores
NPL,51.9,17.1,33.2,2015 Scores
PAK,45.9,16.5,30.1,2015 Scores
LKA,61.6,30.9,45.1,2015 Scores
ARM,56.7,49.0,52.5,2015 Scores
AZE,62.9,33.6,47.2,2015 Scores
GEO,63.1,56.8,59.7,2015 Scores
JOR,52.1,30.4,40.4,2015 Scores
LBN,33.2,23.4,28.0,2015 Scores
SAU,41.7,30.9,35.9,2015 Scores
TUR,61.2,47.3,53.7,2015 Scores
YEM,42.0,28.1,34.5,2015 Scores
BLR,57.8,17.8,36.3,2015 Scores
BGR,56.8,36.3,45.8,2015 Scores
XKX,49.4,31.5,39.8,2015 Scores
MDA,69.0,67.6,68.3,2015 Scores
ROU,57.2,37.6,46.7,2015 Scores
RUS,61.5,48.5,54.5,2015 Scores
UKR,52.9,44.1,48.2,2015 Scores
ALB,48.0,31.9,39.3,2015 Scores
BIH,34.2,8.6,20.4,2015 Scores
MKD,23.7,43.3,34.2,2015 Scores
MNE,35.4,20.1,27.2,2015 Scores
SRB,40.0,57.2,49.2,2015 Scores
FJI,32.0,16.2,23.5,2015 Scores
PNG,18.5,4.4,10.9,2015 Scores
SLB,28.9,9.9,18.7,2015 Scores
VUT,36.3,6.4,20.2,2015 Scores
KIR,19.8,7.0,12.3,2015 Scores
MHL,31.4,6.5,16.8,2015 Scores
FSM,36.4,6.2,18.7,2015 Scores
WSM,27.0,9.3,17.5,2015 Scores
PSE,50.7,16.2,32.2,2015 Scores
BDI,45.7,33.1,38.9,2016 Scores
DJI,29.9,24.5,27.0,2016 Scores
ETH,26.3,21.2,23.6,2016 Scores
KEN,48.8,49.6,49.2,2016 Scores
MDG,3.3,3.3,3.3,2016 Scores
MWI,36.9,39.1,38.1,2016 Scores
MUS,56.5,56.8,56.7,2016 Scores
MOZ,31.0,26.5,28.6,2016 Scores
RWA,44.6,68.1,57.3,2016 Scores
SSD,22.2,23.8,23.1,2016 Scores
TZA,40.7,25.4,32.5,2016 Scores
UGA,43.0,36.5,39.5,2016 Scores
ZMB,25.7,18.5,21.8,2016 Scores
ZWE,32.0,22.5,26.9,2016 Scores
AGO,23.8,23.0,23.3,2016 Scores
CMR,37.2,42.3,39.9,2016 Scores
TCD,34.4,26.7,30.3,2016 Scores
COD,29.8,20.0,24.5,2016 Scores
COG,29.1,26.1,27.5,2016 Scores
GAB,18.5,19.7,19.2,2016 Scores
STP,23.7,37.3,31.7,2016 Scores
DZA,26.0,19.5,22.5,2016 Scores
EGY,45.5,32.5,38.5,2016 Scores
LBY,16.8,1.0,8.3,2016 Scores
MAR,37.6,20.8,28.5,2016 Scores
TUN,43.3,48.7,46.2,2016 Scores
BWA,35.8,30.6,33.0,2016 Scores
LSO,34.1,30.9,32.4,2016 Scores
NAM,33.7,29.9,31.6,2016 Scores
ZAF,51.8,55.6,53.9,2016 Scores
SWZ,4.3,6.0,5.2,2016 Scores
BEN,24.4,21.7,23.0,2016 Scores
BFA,40.1,26.1,32.5,2016 Scores
CPV,26.5,35.7,31.4,2016 Scores
CIV,25.2,24.7,24.9,2016 Scores
GMB,16.3,15.2,15.7,2016 Scores
GHA,36.7,20.7,28.1,2016 Scores
GIN,43.2,41.3,42.1,2016 Scores
GNB,19.6,36.4,28.6,2016 Scores
LBR,36.4,37.3,36.9,2016 Scores
MLI,41.5,46.8,44.3,2016 Scores
MRT,33.0,31.8,32.4,2016 Scores
NER,35.1,27.0,30.7,2016 Scores
NGA,43.9,37.7,40.6,2016 Scores
SEN,35.7,37.5,36.7,2016 Scores
SLE,40.5,26.9,33.2,2016 Scores
TGO,30.1,35.9,33.2,2016 Scores
AIA,12.3,10.1,11.0,2016 Scores
BHS,34.4,24.7,29.2,2016 Scores
CUB,45.4,43.7,44.5,2016 Scores
DOM,48.1,46.0,47.0,2016 Scores
HTI,3.9,5.2,4.6,2016 Scores
JAM,19.3,17.6,18.4,2016 Scores
LCA,31.4,21.6,25.6,2016 Scores
VCT,33.4,17.4,24.0,2016 Scores
TTO,20.5,17.6,18.9,2016 Scores
BLZ,31.1,29.1,30.0,2016 Scores
CRI,22.8,16.4,19.4,2016 Scores
SLV,24.8,18.7,21.5,2016 Scores
GTM,26.8,26.4,26.5,2016 Scores
HND,35.8,23.2,29.1,2016 Scores
MEX,56.7,79.7,69.0,2016 Scores
NIC,39.5,38.1,38.8,2016 Scores
PAN,45.4,40.1,42.5,2016 Scores
CAN,67.5,85.3,77.1,2016 Scores
USA,77.3,74.6,75.9,2016 Scores
ARG,37.1,26.8,31.6,2016 Scores
BOL,45.0,38.8,41.7,2016 Scores
BRA,46.8,41.8,44.1,2016 Scores
CHL,48.4,43.1,45.6,2016 Scores
COL,47.2,38.9,42.7,2016 Scores
ECU,55.6,59.4,57.7,2016 Scores
GUY,27.6,29.7,28.7,2016 Scores
PRY,44.7,29.5,36.5,2016 Scores
PER,46.7,28.4,36.8,2016 Scores
SUR,37.3,40.6,39.1,2016 Scores
URY,38.5,23.3,30.3,2016 Scores
VEN,37.9,24.3,30.6,2016 Scores
KAZ,61.4,37.2,48.4,2016 Scores
KGZ,63.3,51.8,57.1,2016 Scores
TJK,46.0,37.8,41.6,2016 Scores
TKM,26.8,20.5,23.4,2016 Scores
UZB,13.8,12.3,13.0,2016 Scores
KHM,24.6,20.4,22.3,2016 Scores
CHN,45.6,45.6,45.6,2016 Scores
HKG,51.0,27.9,37.4,2016 Scores
IDN,49.6,30.7,39.4,2016 Scores
JPN,49.1,57.5,53.6,2016 Scores
KOR,64.9,60.2,62.3,2016 Scores
LAO,26.7,27.3,27.0,2016 Scores
MYS,36.4,38.7,37.7,2016 Scores
MNG,62.0,63.4,62.7,2016 Scores
MMR,28.1,35.8,32.2,2016 Scores
PHL,52.0,38.2,44.6,2016 Scores
SGP,47.1,44.1,45.3,2016 Scores
THA,39.0,37.8,38.3,2016 Scores
TLS,38.0,22.5,29.7,2016 Scores
VNM,35.5,36.7,36.1,2016 Scores
BGD,42.3,29.1,35.2,2016 Scores
BTN,50.7,44.4,47.3,2016 Scores
IND,52.8,57.2,55.2,2016 Scores
MDV,38.7,27.5,32.1,2016 Scores
NPL,48.7,28.3,37.7,2016 Scores
PAK,46.4,29.2,37.2,2016 Scores
LKA,48.3,43.8,45.9,2016 Scores
ARM,55.1,53.4,54.2,2016 Scores
AZE,60.3,41.2,50.0,2016 Scores
BHR,46.3,42.8,44.2,2016 Scores
CYP,49.2,47.3,48.2,2016 Scores
GEO,59.1,53.0,55.8,2016 Scores
IRQ,38.6,26.6,32.1,2016 Scores
ISR,26.2,45.6,36.6,2016 Scores
JOR,52.9,40.3,46.1,2016 Scores
KWT,40.8,37.1,38.8,2016 Scores
LBN,34.1,25.5,29.5,2016 Scores
OMN,33.6,51.0,42.9,2016 Scores
QAT,35.9,27.9,31.6,2016 Scores
SAU,36.0,22.9,29.0,2016 Scores
TUR,45.8,42.8,44.2,2016 Scores
ARE,40.4,31.9,35.9,2016 Scores
YEM,40.7,26.6,33.1,2016 Scores
BLR,65.0,36.8,49.9,2016 Scores
BGR,64.9,57.6,61.0,2016 Scores
CZE,79.1,84.0,81.7,2016 Scores
HUN,62.2,56.7,59.3,2016 Scores
XKX,42.4,36.8,39.4,2016 Scores
MDA,57.3,64.8,61.4,2016 Scores
POL,77.2,80.0,78.7,2016 Scores
ROU,59.6,46.8,52.7,2016 Scores
RUS,60.7,50.2,55.1,2016 Scores
SVK,58.7,48.1,53.0,2016 Scores
UKR,56.2,31.7,43.0,2016 Scores
DNK,65.4,88.7,77.9,2016 Scores
EST,78.3,78.5,78.4,2016 Scores
FIN,71.6,77.0,74.5,2016 Scores
ISL,41.3,48.7,45.3,2016 Scores
IRL,53.7,67.8,61.3,2016 Scores
LVA,72.5,74.2,73.5,2016 Scores
LTU,84.4,72.7,78.1,2016 Scores
NOR,71.0,87.8,80.1,2016 Scores
SWE,73.3,91.3,83.0,2016 Scores
GBR,48.6,54.9,52.0,2016 Scores
ALB,57.9,54.4,56.0,2016 Scores
BIH,39.0,32.2,35.3,2016 Scores
HRV,65.2,54.5,59.5,2016 Scores
GRC,46.7,49.8,48.4,2016 Scores
ITA,64.8,80.4,73.2,2016 Scores
MKD,61.0,57.4,59.0,2016 Scores
MLT,41.8,42.9,42.4,2016 Scores
MNE,48.6,34.1,40.8,2016 Scores
PRT,61.6,74.9,68.8,2016 Scores
SRB,51.7,57.1,54.6,2016 Scores
SVN,66.2,73.4,70.0,2016 Scores
ESP,57.1,72.7,65.5,2016 Scores
AUT,58.5,71.5,65.5,2016 Scores
BEL,45.9,59.4,53.2,2016 Scores
FRA,44.5,50.1,47.5,2016 Scores
DEU,60.0,72.0,66.4,2016 Scores
AUS,57.4,67.8,63.0,2016 Scores
NZL,58.7,75.3,67.6,2016 Scores
FJI,34.1,22.5,27.9,2016 Scores
PNG,16.8,12.0,14.2,2016 Scores
SLB,31.1,21.1,25.7,2016 Scores
VUT,29.6,22.3,25.7,2016 Scores
KIR,27.1,23.8,25.1,2016 Scores
MHL,30.3,19.4,23.9,2016 Scores
FSM,35.4,24.4,28.9,2016 Scores
WSM,39.4,33.2,36.1,2016 Scores
PSE,47.7,39.5,43.3,2016 Scores
NLD,55.9,85.0,71.6,2016 Scores
LUX,43.7,47.2,45.6,2016 Scores
CHE,62.3,60.5,61.3,2016 Scores
TWN,35.8,46.0,41.3,2016 Scores
BDI,35.2,29.2,32.1,2017 Scores
DJI,23.0,29.3,26.3,2017 Scores
ETH,30.5,26.0,28.1,2017 Scores
KEN,41.4,32.3,36.6,2017 Scores
MDG,7.6,4.9,6.2,2017 Scores
MWI,29.4,35.9,32.8,2017 Scores
MUS,53.8,61.7,57.9,2017 Scores
MOZ,34.6,22.1,28.1,2017 Scores
RWA,44.0,63.2,54.1,2017 Scores
SYC,36.4,34.7,35.4,2017 Scores
SOM,5.2,6.2,5.7,2017 Scores
SSD,15.2,25.3,20.5,2017 Scores
TZA,35.9,30.6,33.1,2017 Scores
UGA,38.4,45.4,42.0,2017 Scores
ZMB,26.9,20.2,23.4,2017 Scores
ZWE,28.5,26.2,27.3,2017 Scores
AGO,18.4,23.2,20.9,2017 Scores
CMR,36.1,35.1,35.6,2017 Scores
TCD,1.7,4.6,3.2,2017 Scores
COD,23.2,24.1,23.7,2017 Scores
COG,25.9,33.1,29.7,2017 Scores
GAB,13.2,21.2,17.4,2017 Scores
STP,16.8,25.1,21.5,2017 Scores
DZA,33.0,28.7,30.8,2017 Scores
EGY,47.0,32.1,39.2,2017 Scores
LBY,19.6,8.4,13.8,2017 Scores
MAR,32.8,24.9,28.7,2017 Scores
SDN,15.9,13.8,14.8,2017 Scores
TUN,37.0,36.7,36.8,2017 Scores
BWA,36.9,48.7,43.1,2017 Scores
LSO,24.0,39.6,32.2,2017 Scores
NAM,25.7,27.0,26.4,2017 Scores
ZAF,38.1,51.3,45.0,2017 Scores
SWZ,5.6,7.9,6.8,2017 Scores
BEN,13.6,16.7,15.2,2017 Scores
BFA,31.2,28.3,29.7,2017 Scores
CPV,19.2,21.1,20.2,2017 Scores
CIV,18.7,27.4,23.3,2017 Scores
GMB,25.8,27.2,26.6,2017 Scores
GHA,37.2,32.0,34.5,2017 Scores
GIN,37.0,36.0,36.5,2017 Scores
GNB,21.6,33.2,27.7,2017 Scores
LBR,35.3,37.6,36.5,2017 Scores
MLI,34.5,37.9,36.3,2017 Scores
MRT,33.0,35.0,34.0,2017 Scores
NER,37.4,32.6,34.9,2017 Scores
NGA,43.1,33.1,37.9,2017 Scores
SEN,38.0,42.1,40.1,2017 Scores
SLE,32.7,33.0,32.9,2017 Scores
TGO,21.7,27.1,24.5,2017 Scores
AIA,10.5,11.6,11.1,2017 Scores
BHS,28.0,29.0,28.5,2017 Scores
CUB,41.1,29.8,35.2,2017 Scores
DOM,43.5,46.6,45.1,2017 Scores
HTI,13.5,12.4,12.9,2017 Scores
JAM,29.1,57.4,43.9,2017 Scores
LCA,22.7,17.3,19.7,2017 Scores
VCT,30.2,27.1,28.4,2017 Scores
TTO,20.2,35.7,28.3,2017 Scores
BLZ,34.4,35.3,34.9,2017 Scores
CRI,44.4,60.3,52.7,2017 Scores
SLV,34.3,36.1,35.2,2017 Scores
GTM,30.6,32.0,31.4,2017 Scores
HND,34.2,34.8,34.5,2017 Scores
MEX,56.3,84.6,71.1,2017 Scores
NIC,34.4,29.8,32.0,2017 Scores
PAN,39.0,36.3,37.6,2017 Scores
CAN,63.2,85.7,75.0,2017 Scores
USA,65.5,71.7,68.7,2017 Scores
ARG,38.5,36.7,37.5,2017 Scores
BOL,33.1,50.5,42.2,2017 Scores
BRA,41.4,38.4,39.8,2017 Scores
CHL,35.8,24.3,29.8,2017 Scores
COL,55.0,52.9,53.9,2017 Scores
ECU,48.1,61.9,55.3,2017 Scores
GUY,23.7,21.9,22.8,2017 Scores
PRY,40.9,31.1,35.8,2017 Scores
PER,52.7,59.5,56.3,2017 Scores
SUR,34.2,35.3,34.8,2017 Scores
URY,41.2,50.9,46.3,2017 Scores
VEN,32.2,30.2,31.2,2017 Scores
KAZ,62.7,42.9,52.3,2017 Scores
KGZ,52.9,43.6,48.1,2017 Scores
TJK,35.8,45.6,41.0,2017 Scores
TKM,13.2,18.2,15.8,2017 Scores
UZB,17.7,17.7,17.7,2017 Scores
KHM,20.9,28.7,25.0,2017 Scores
CHN,44.2,39.6,41.8,2017 Scores
HKG,54.3,60.0,57.5,2017 Scores
IDN,61.2,58.8,59.9,2017 Scores
JPN,55.7,57.3,56.5,2017 Scores
KOR,53.9,77.9,66.4,2017 Scores
LAO,23.0,22.7,22.8,2017 Scores
MAC,33.8,41.9,38.4,2017 Scores
MYS,40.4,49.3,45.1,2017 Scores
MNG,53.3,71.1,62.6,2017 Scores
MMR,32.2,46.1,39.5,2017 Scores
PHL,45.8,70.2,58.6,2017 Scores
SGP,55.0,70.6,63.8,2017 Scores
THA,38.8,28.4,33.4,2017 Scores
TLS,30.1,22.2,26.0,2017 Scores
VNM,30.7,41.2,36.2,2017 Scores
AFG,22.4,22.1,22.2,2017 Scores
BGD,38.8,35.7,37.2,2017 Scores
BTN,46.0,33.3,39.3,2017 Scores
IND,46.5,58.9,53.0,2017 Scores
IRN,40.3,30.3,35.1,2017 Scores
MDV,34.1,40.2,37.5,2017 Scores
NPL,35.1,32.2,33.6,2017 Scores
PAK,40.3,27.6,33.7,2017 Scores
LKA,45.7,41.6,43.5,2017 Scores
